group,names,scores,logfoldchanges,pvals,pvals_adj
0,Zeb2,41.695774,0.77115786,0.0,0.0
0,Cadm1,41.537777,0.6988566,0.0,0.0
0,Macrod2,41.390102,0.7244286,0.0,0.0
0,Scn3a,41.3713,0.8915316,0.0,0.0
0,Elmod1,41.33494,1.2585293,0.0,0.0
0,Pcp4,41.11959,0.8190733,0.0,0.0
0,Ube2d1,40.94847,0.74571896,0.0,0.0
0,Podxl2,40.942104,0.7195688,0.0,0.0
0,Soga3,40.655785,0.69430304,0.0,0.0
0,Grik2,40.405006,0.84554,0.0,0.0
0,Shtn1,40.375584,0.91018206,0.0,0.0
0,Fgf13,40.363987,0.85353595,0.0,0.0
0,Zfp608,40.294212,0.6981856,0.0,0.0
0,Nfasc,39.875877,0.91952163,0.0,0.0
0,Galnt17,39.63015,0.8926204,0.0,0.0
0,Jund,39.43879,0.5772809,0.0,0.0
0,Adgrl3,39.23824,0.7624034,0.0,0.0
0,Svbp,39.12512,0.63972634,0.0,0.0
0,Nr2f1,39.07385,0.5248481,0.0,0.0
0,1700025G04Rik,38.80974,0.7838209,0.0,0.0
0,Cplx2,38.751057,0.8197698,0.0,0.0
0,Irf2bpl,38.606197,0.9319476,0.0,0.0
0,Sez6l2,38.59075,0.9460108,0.0,0.0
0,Cxadr,38.38091,0.7838576,0.0,0.0
0,Ank3,38.251667,0.7339955,0.0,0.0
0,Tmeff1,38.05347,0.7964846,0.0,0.0
0,Tbr1,37.830257,1.238311,0.0,0.0
0,Mllt3,37.73353,0.65789306,0.0,0.0
0,Map1lc3a,37.595882,0.53110516,2.509812930299624e-309,3.693041768531709e-307
0,Cnr1,37.491062,1.0214373,1.2881480192873094e-307,1.8790231886539037e-305
0,9330159F19Rik,37.297916,0.7315437,1.7738015098576107e-304,2.576293779144916e-302
0,Klhl29,37.22864,1.1792042,2.3486163754044208e-303,3.3676160589628665e-301
0,Sms,37.22447,0.59699404,2.743521839494936e-303,3.917191182356838e-301
0,Mir124-2hg,37.216194,1.1877258,3.7338715718760176e-303,5.308714619659675e-301
0,Rnf182,37.20961,1.0505114,4.7713994874864196e-303,6.755339375224471e-301
0,St8sia4,37.205578,1.0840899,5.544772273783687e-303,7.817432909515277e-301
